,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
30,MRPL.BO,Mangalore Refinery and Petrochemicals Limited,37.35,+0.80,+2.19%,"393,679","133,214",65.46B,N/A
31,MRPL.NS,Mangalore Refinery and Petrochemicals Limited,37.30,+0.80,+2.19%,3.019M,1.27M,65.462B,N/A
32,LUNE.ST,Lundin Energy AB,229.50,-4.10,-1.76%,"417,361",1.351M,65.19B,150.59
33,8097.T,"San-Ai Oil Co.,Ltd.",928.00,-40.00,-4.13%,"65,200","67,225",64.75B,7.93
34,601808.SS,China Oilfield Services Limited,14.81,+0.41,+2.85%,25.506M,16.856M,63.974B,19.59
35,1898.HK,China Coal Energy Company Limited,2.090,+0.040,+1.95%,22.874M,14.648M,62.307B,3.98
36,IKF.F,China Shenhua Energy Company Limited,1.5700,0.0000,0.00%,"3,802","1,260",61.283B,4.42
37,EBBNF,Enbridge Inc.,15.60,0.00,0.00%,168,455,61.318B,21.49
38,PFC.L,Petrofac Limited,175.95,-4.30,-2.39%,"289,350",1.563M,608.634M,8.26
39,AEGISCHEM.NS,Aegis Logistics Limited,178.90,-1.05,-0.58%,"402,068","223,636",60.834B,62.99
40,HALI34.SA,Halliburton Company,67.97,0.00,0.00%,0,"2,457",58.325B,N/A
41,ENB,Enbridge Inc.,29.95,+0.01,+0.05%,"609,976",4.154M,61.01B,41.26
42,ENB-PV.TO,Enbridge Inc.,17.10,0.00,0.00%,800,"11,587",60.141B,N/A
